id,name,image,description,type,damage negation,resistance,weight,special effect,how to acquire,in-game section,dlc
15,Helm of Solitude,http://eldenring.wiki.fextralife.com/file/Elden-Ring/helm_of_solitude_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Steel helm of the Knights of the Solitary Gaol. Part of a heavy armor set that covers the whole body in overlapping plates of steel. The nameless mausoleums of the realm of shadow are said to hold the spirits of warriors who lost their names, or their hearts.",helm,"[{'Phy': '6.8', 'VS Str.': '6.4', 'VS Sla.': '6.7', 'VS Pie.': '6.3', 'Mag': '4.7', 'Fir': '5.2', 'Lit': '4.8', 'Hol': '4.9'}]","[{'Imm.': '26', 'Rob.': '27', 'Foc.': '42', 'Vit.': '22', 'Poi.': '14'}]",10.3,,Can be obtained after defeating the Blackgaol Knight found inside Northern Nameless Mausoleum. [See Shadow of the Erdtree Map],1,1
16,Messmer Soldier Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmer_soldier_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm worn by soldiers who serve Messmer the Impaler. The iron helm features a visor. Though the engraving upon the forehead is a Scadutree design, it is etched in gold. A small consolation to those forced to wage a war without grace or honor.",helm,"[{'Phy': '4.4', 'VS Str.': '3.6', 'VS Sla.': '4.4', 'VS Pie.': '4.2', 'Mag': '3.1', 'Fir': '3.6', 'Lit': '2.5', 'Hol': '3.1'}]","[{'Imm.': '12', 'Rob.': '22', 'Foc.': '9', 'Vit.': '9', 'Poi.': '7'}]",4.0,,Drop from Messmer Soldiers,17,1
17,Black Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm worn by the Black Knights, servants of Messmer the Impaler. Black iron ornamented with gold. A rotten odor stubbornly clings to it. Perhaps it arises from the tainted nature of the blood that splattered upon it. Or perhaps it is the wearer's own blackened soul, festering after endless slaughter.",helm,"[{'Phy': '5.2', 'VS Str.': '4.4', 'VS Sla.': '5.2', 'VS Pie.': '5.8', 'Mag': '4.4', 'Fir': '4.6', 'Lit': '3.8', 'Hol': '4.0'}]","[{'Imm.': '16', 'Rob.': '26', 'Foc.': '10', 'Vit.': '9', 'Poi.': '9'}]",5.9,,"Black Knight Set pieces are dropped from Black Knights, found throughout the Lands of Shadow.",17,1
18,Rakshasa Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rakshasa_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of Rakshasa, soaked in the spurting blood of her victims. Tatters of ragged cloth jut out haphazardly, as if her lust for carnage threatens to break free.Increases damage dealt to foes, but greatly increases damage taken by the wearer.Cut down and devour. Only those who repeat the cycle without rest can truly subvert the self and become Rakshasa.",helm,"[{'Phy': '2.7', 'VS Str.': '2.3', 'VS Sla.': '3.1', 'VS Pie.': '2.9', 'Mag': '2.1', 'Fir': '2.5', 'Lit': '1.9', 'Hol': '2.1'}]","[{'Imm.': '15', 'Rob.': '26', 'Foc.': '12', 'Vit.': '12', 'Poi.': '9'}]",5.5,Boosts All Damage by 2%,Dropped by Rakshasa in Eastern Nameless Mausoleum. This area can only be accessed by using the ladder in Shadow Keep to get down to a special teleport coffin (this Elden Ring Map location). This will take you to Ruins of Unte and you must follow the cliffs downstream and then carefully drop down to bottom level to reach the mausoleum. [Shadow of the Erdtree Map],6,1
19,Fire Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Pointed helm of the Fire Knights under Messmer the Impaler's personal command. Slightly increases maximum HP, stamina, and maximum equip load. Each and every knight hailed from a renowned family of the Erdtree's upper echelons, but were shunned and chased from their homes after pledging allegiance to Messmer as their master.",helm,"[{'Phy': '4.6', 'VS Str.': '3.6', 'VS Sla.': '4.2', 'VS Pie.': '3.8', 'Mag': '3.4', 'Fir': '4.2', 'Lit': '2.5', 'Hol': '3.1'}]","[{'Imm.': '12', 'Rob.': '20', 'Foc.': '9', 'Vit.': '10', 'Poi.': '6'}]",4.0,"Slightly increases maximum HP by 2%, Stamina by 5%, and Equip Load by 4%.",Drop by Fire Knights in the Shadow Keep,17,1
20,Death Mask Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/death_mask_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of Wego, elder among the Fire Knights. Two warped death masks stacked one atop the other. Reduces FP used to summon spirits. Gnawed at by loneliness, the old man turned his attention to the spirituality of Messmer's flame, using it in a rite of resurrection. Yet the soulless bodies he brought to life were no comfort to poor Wego.",helm,"[{'Phy': '4.3', 'VS Str.': '3.3', 'VS Sla.': '3.9', 'VS Pie.': '3.5', 'Mag': '3.0', 'Fir': '3.9', 'Lit': '2.2', 'Hol': '2.7'}]","[{'Imm.': '10', 'Rob.': '16', 'Foc.': '7', 'Vit.': '9', 'Poi.': '6'}]",3.4,Reduces FP to summon spirits by 12%,"Drops from a Fire Knight miniboss in the cathedral area of Shadow Keep, after draining out the water.",17,1
21,Winged Serpent Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/winged_serpent_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of Kood, captain of the Fire Knights. A winged serpent perches atop it. Enhances Fire Knight skills. The winged serpent is the token creature of Messmer's military forces. It is a wise friend which keeps the base serpent at bay and holds its power in check.",helm,"[{'Phy': '4.8', 'VS Str.': '4.0', 'VS Sla.': '4.4', 'VS Pie.': '4.0', 'Mag': '3.8', 'Fir': '4.4', 'Lit': '2.8', 'Hol': '3.4'}]","[{'Imm.': '14', 'Rob.': '22', 'Foc.': '10', 'Vit.': '11', 'Poi.': '7'}]",4.6,Enhances Fire Knight skills by 10%.,"Shadow Keep: Sixth Floor: Climb the statues once you've used the lever to move them. Head outside, turn right and head up the stairs, turn left to find a Fire Knight at the end of the bridge. Drops this item and Ash of War: Flame Spear. [See Shadow of the Erdtree Map]",17,1
22,Salza's Hood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/salzas_hood_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Hood of Salza, sage of the Fire Knights.A prodigious amount of cloth wound around it, giving the impression of a greatly swollen head, and wearing it increases intelligence.A disciple of the elder Wego, he refused to burn down an old ruin, at the risk of his own life.",helm,"[{'Phy': '4.4', 'VS Str.': '3.6', 'VS Sla.': '4.4', 'VS Pie.': '3.8', 'Mag': '3.1', 'Fir': '4.0', 'Lit': '2.8', 'Hol': '3.1'}]","[{'Imm.': '12', 'Rob.': '20', 'Foc.': '9', 'Vit.': '10', 'Poi.': '6'}]",3.8,Increases Intelligence +2,"From the West Rampart Site of Grace, take the bridge all the way. Use Torrent to avoid being trappped in the Rain of Fire. Defeat the Fire Knight at the end to obtain this and Rain of Fire. [See Shadow of the Erdtree Map]",18,1
23,Leather Headband,http://eldenring.wiki.fextralife.com/file/Elden-Ring/leather_headband_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Headband worn by highland warriors, made of woven leather. The white favor represents their home settlement. Highland warriors are known to be hunters of bears; to them, there is no act more glorious than the subjugation of a savage beast.",helm,"[{'Phy': '1.4', 'VS Str.': '2.1', 'VS Sla.': '1.8', 'VS Pie.': '1.4', 'Mag': '1.8', 'Fir': '2.3', 'Lit': '2.8', 'Hol': '2.3'}]","[{'Imm.': '16', 'Rob.': '10', 'Foc.': '12', 'Vit.': '11', 'Poi.': '2'}]",1.0,,"To the northwest of the Ravine North Site of Grace, there is a forest inhabited by runebears. At the center of this forest, you'll find a large stone with several items on it, this whole armor set is at the top of the stone. [See Shadow of the Erdtree Map]",7,1
24,Leather Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/leather_crown_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm worn by highland warriors, pieced together using leather. The white favor represents their home settlement. Highland warriors are known to be hunters of bears; to them, there is no act more glorious than the subjugation of a savage beast.",helm,"[{'Phy': '3.1', 'VS Str.': '3.6', 'VS Sla.': '3.4', 'VS Pie.': '3.1', 'Mag': '3.4', 'Fir': '3.8', 'Lit': '4.2', 'Hol': '3.8'}]","[{'Imm.': '26', 'Rob.': '15', 'Foc.': '22', 'Vit.': '20', 'Poi.': '5'}]",3.3,,"Found laying on the grounds in the middle of the woods, alongside the rest of the Highland Warrior Set. [Map Link]",6,1
25,Death Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/death_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Golden helm of the Death Knights, whose own death masks served as the visards of their armor. Enhances skills and incantations of the capital's ancient dragon cult. The decayed golden wheel that adorns it represents their unbroken loyalty to Godwyn, he who became Prince of Death.",helm,"[{'Phy': '4.4', 'VS Str.': '3.8', 'VS Sla.': '4.4', 'VS Pie.': '4.4', 'Mag': '3.4', 'Fir': '3.4', 'Lit': '4.4', 'Hol': '2.8'}]","[{'Imm.': '12', 'Rob.': '20', 'Foc.': '8', 'Vit.': '20', 'Poi.': '7'}]",4.6,Enhances skills and incantations of the ancient dragon cult by 2%.,"Darklight Catacombs, on a Death Knight corpse",15,1
26,Curseblade Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/curseblade_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A mask affixed with a crown of tangled horns, worn by those who would invoke divinity. Divine invocation heightens the dexterity of the wearer, but causes the blessing of the Erdtree to become nauseating, reducing the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this mask.",helm,"[{'Phy': '2.5', 'VS Str.': '0.9', 'VS Sla.': '2.3', 'VS Pie.': '2.1', 'Mag': '4.6', 'Fir': '4.6', 'Lit': '4.6', 'Hol': '4.9'}]","[{'Imm.': '22', 'Rob.': '11', 'Foc.': '0', 'Vit.': '33', 'Poi.': '4'}]",2.2,"Increases Dexterity by +5, but reduces the flask value by -7%",Drop by Curseblade enemies.,1,1
27,Messmer's Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmers_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Black helm of Messmer the Impaler, crowned with two intertwined winged serpents.Slightly enhances incantations of Messmer's flame as well as Fire Knight skills.The winged snakes were Messmer's constant companions.They were there when the base serpent was sealed away behind his eye. They were there through his eternity of suffering. They will accompany him yet, in his hideous new form born when he destroyed the grace granted by his mother. They have accepted his fate as much as he.",helm,"[{'Phy': '3.4', 'VS Str.': '3.4', 'VS Sla.': '3.1', 'VS Pie.': '3.8', 'Mag': '3.6', 'Fir': '4.4', 'Lit': '4.2', 'Hol': '3.6'}]","[{'Imm.': '26', 'Rob.': '18', 'Foc.': '24', 'Vit.': '26', 'Poi.': '5'}]",3.6,Slightly enhances incantations of Messmer's fire and Fire Knight skills by 3%.,Purchase from Finger Reader Enia at Roundtable Hold after defeating Messmer the Impaler,17,1
28,Messmer's Helm (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmers_helm_(altered)_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Black helm of Messmer the Impaler, crowned with two intertwined winged serpents. Slightly enhances incantations of Messmer's fire as well as Fire Knight skills.The winged snakes were Messmer's constant companions.They were there when the base serpent was sealed away behind his eye. They were there through his eternity of suffering. They will accompany him yet, in his hideous new form born when he destroyed the grace granted by his mother. They have accepted his fate as much as he.",helm,"[{'Phy': '3.1', 'VS Str.': '3.1', 'VS Sla.': '2.8', 'VS Pie.': '3.6', 'Mag': '3.4', 'Fir': '4.2', 'Lit': '4.0', 'Hol': '3.4'}]","[{'Imm.': '24', 'Rob.': '16', 'Foc.': '23', 'Vit.': '24', 'Poi.': '5'}]",3.3,Slightly enhances incantations of Messmer's fire and Fire Knight skills by 3%.,Alter Messmer's Helm at any site of grace.,17,1
29,Gravebird Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gravebird_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Stone helm with a tinge of green. One of a set of armor pieces cast in the image of the Gravebird. Empowers spells which summon rings of spectral light. Gravebirds are ancient golems, created to guard the spiritgraves built where all manners of Death ultimately drift.",helm,"[{'Phy': '3.4', 'VS Str.': '3.6', 'VS Sla.': '3.6', 'VS Pie.': '3.1', 'Mag': '4.0', 'Fir': '3.8', 'Lit': '4.2', 'Hol': '4.2'}]","[{'Imm.': '24', 'Rob.': '14', 'Foc.': '21', 'Vit.': '20', 'Poi.': '6'}]",3.6,Empowers spells which summon rings of spectral light by 15%.,"From the Spiral Rise site of grace, climb the spire until you get the elevator shortcut back down. Ride the lift down and jump off halfway into a central altar. [Map Link]",19,1
30,Common Soldier Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/common_soldier_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of the rank-and-file soldiers of Messmer's army. A pitch-dark soot clings to it, much like the inner faces of the men who wore them.",helm,"[{'Phy': '4.4', 'VS Str.': '3.4', 'VS Sla.': '4.2', 'VS Pie.': '4.2', 'Mag': '2.5', 'Fir': '3.1', 'Lit': '2.1', 'Hol': '2.8'}]","[{'Imm.': '11', 'Rob.': '20', 'Foc.': '8', 'Vit.': '8', 'Poi.': '6'}]",3.8,,Drop by soldiers in Castle Ensis,5,1
31,Horned Warrior Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/horned_warrior_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm featuring a crown of sturdy tangled horns, allowing the wearer to invoke divinity. Attire of the horned warriors, keepers of the tower. Divine invocation bolsters the strength of the wearer, but causes the blessing of the Erdtree to become nauseating, reducing the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this helm.",helm,"[{'Phy': '4.8', 'VS Str.': '4.4', 'VS Sla.': '4.6', 'VS Pie.': '4.0', 'Mag': '3.6', 'Fir': '3.6', 'Lit': '3.1', 'Hol': '3.1'}]","[{'Imm.': '13', 'Rob.': '25', 'Foc.': '0', 'Vit.': '9', 'Poi.': '7'}]",4.6,"Increases Strength by +5, but decreases healing from Flask of Crimson Tears by -7%.",Dropped from Horned Warriors,3,1
32,Divine Beast Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/divine_beast_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A helm of tangled horn attached to a divine beast mask, allowing the wearer to invoke divinity. Worn by divine beast warriors; the chosen of the horned warriors. Divine invocation heightens intensity of the storm alongside strength and dexterity, but reduces the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this helm.",helm,"[{'Phy': '4.8', 'VS Str.': '4.4', 'VS Sla.': '4.8', 'VS Pie.': '4.4', 'Mag': '3.8', 'Fir': '4.0', 'Lit': '3.6', 'Hol': '3.8'}]","[{'Imm.': '14', 'Rob.': '23', 'Foc.': '0', 'Vit.': '11', 'Poi.': '8'}]",5.1,"Heightens intensity of the storm by 4%, boost Strength by +3 and Dexerity by +3, but reduces restorative effect of sacred tears by -9% and lower focus by -45","Dropped by Divine Beast Warriors, Enir Ilim",19,1
