id,weapon_id,name,image,weight,description,dlc,requirements,damage type,category,passive effect,skill,FP cost
10,11,Frenzyflame Perfume Bottle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/frenzyflame_perfume_bottle_perfume_bottles_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,1.0,"Perfume bottle remade into a weapon by perfumers of the realm of shadow. Attacks release perfumed powder, producing frenzied flame. From time to time, perfumers set out on journeys to pursue new aromatics and flower gardens.",1,"{'Str': 3, 'Dex': 10, 'Int': 12, 'Fai': 12}",Standard,Perfume Bottles,(60) Madness,Kick,0
11,12,Lightning Perfume Bottle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightning_perfume_bottle_perfume_bottles_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,1.0,"Perfume bottle remade into a weapon by perfumers of the realm of shadow. Attacks release perfumed powder, producing lightning. From time to time, perfumers set out on journeys to pursue new aromatics and flower gardens.",1,"{'Str': 3, 'Dex': 16, 'Fai': 14}",Standard,Perfume Bottles,No passive effects,Kick,0
12,13,Deadly Poison Perfume Bottle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deadly_poison_perfume_bottle_perfume_bottles_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,1.0,"Perfume bottle customized by Thiollier. Attacks release perfumed powder, producing deadly poison. There are some techniques of the perfuming arts that employ poison. Upon learning of this, Thiollier threw himself into mastering those techniques, and he made them his own.",1,"{'Str': 3, 'Dex': 13, 'Arc': 18}",Standard,Perfume Bottles,(66) Poison,Deadly Poison Spray,21
13,14,Red Bear's Claw,http://eldenring.wiki.fextralife.com/file/Elden-Ring/red_bears_claw_beast_claws_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,4.0,"Claw of a great red bear wielded without modification by Red Bear, whose name is lost to madness. After killing the great red bear in a blood-soaked bout, he became fascinated by the untainted glory of its naked strength. ""I wish to be a bear, no more, and no less",1,"{'Str': 20, 'Dex': 10}",Slash,Beast Claws,(45) Hemorrhage,Red Bear Hunt,8
14,15,Beast Claw (Weapon),http://eldenring.wiki.fextralife.com/file/Elden-Ring/beast_claw_beast_claws_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,3.0,Weapon in the form of a carnivorous beast's vicious claws. Used to perform bestial slashing attacks uncanny to humankind. An imitation of the esoteric technique of the horned warriors. Those who carry this weapon wield it as though they have been possessed by a savage beast.,1,"{'Str': 13, 'Dex': 11}",Slash,Beast Claws,(45) Hemorrhage,Savage Claws,13
15,16,Milady,http://eldenring.wiki.fextralife.com/file/Elden-Ring/milady_light_greatswords_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,6.5,"A light greatsword; that is, a sword whose blade matches the length of a greatsword, while being constrained to a minimal weight. Nicknamed after ladies of noble status for its refined appearance. With cultivated form, one can wield this weapon as swiftly as one might a straight sword.",1,"{'Str': 12, 'Dex': 17}",Standard/Pierce,Light Greatswords,No passive effects,Impaling Thrust,9
16,17,Leda's Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ledas_sword_light_greatswords_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,7.5,"Light greatsword with gold inlaid. Weapon of Leda, the Needle Knight. Deals holy damage. Though polished to a mirror sheen, this blade still reeks with the stench of crusted blood that lingers from the cull of her knightly comrades.",1,"{'Str': 11, 'Dex': 22, 'Fai': 19}",Standart/Pierce,Light Greatswords,No passive effects,Needle Piercer,19
17,18,Rellana's Twin Blades,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rellanas_twinblade_light_greatswords_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,8.0,"Carian light greatsword embedded with blue glintstone. Weapon of Rellana, the Twin Moon Knight. Two swords as a single armament. When two-handing, a straight sword engraved with golden flame will be carried in the left hand. Here, and here alone, were moon and fire ever together.",1,"{'Str': 13, 'Dex': 16, 'Int': 16, 'Fai': 16}",Standard/Pierce,Light Greatswords,No passive effects,Moon-and-Fire Stance,10 - 25
18,19,Great Katana,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_katana_great_katana_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,9.0,"Large katana with a long, heavy blade. A weapon unique to warriors of the Land of Reeds. Designed for aggression, this armament requires the wielder to throw their entire body into swinging it. The slashing attacks of its honed edge incite blood loss.",1,"{'Str': 14, 'Dex': 18}",Slash/Pierce,Great Katanas,(55) Hemorrhage,Overhead Stance,0
19,20,Dragon-Hunter's Great Katana,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragon-hunters_great_katana_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,10.5,"Great katana with spines of gravel stone along its blade, wielded by the Ancient Dragon-Man of the Dragon's Pit. Has an anti-dragon effect. Formerly a Dragon Communion warrior, the Ancient Dragon-Man was once arbiter of those worthy to devour the Dreaded One.",1,"{'Str': 15, 'Dex': 20}",Slash/Pierce,Great Katanas,(55) Hemorrhage,Dragonwound Slash,18
20,21,Rakshasa's Great Katana,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rakshasas_great_katana_great_katana_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,9.5,"A great katana with the tempering pattern of its blade forever stained red with blood. Weapon of Rakshasa, who cuts down and devours. A berserker's weapon used to endure enemy attacks and reply with one's full fury. When attacking, the wielder is less likely to stagger from counterattacks, but will also take increased damage.",1,"{'Str': 12, 'Dex': 27}",Slash/Pierce,Great Katanas,(55) Hemorrhage,Weed Cutter,8
21,22,Dagger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dagger_dagger_weapon_elden_ring_wiki_guide_200px.png,1.5,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",0,"{'Str': 5, 'Dex': 9}",Slash/Pierce,Daggers,No passive effects,Quickstep,3
22,23,Parrying Dagger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/parrying_dagger_dagger_weapon_elden_ring_wiki_guide_200px.png,1.5,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For master of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",0,"{'Str': 5, 'Dex': 14}",Slash/Pierce,Daggers,No passive effects,Parry,0
23,24,Misericorde,http://eldenring.wiki.fextralife.com/file/Elden-Ring/misericorde_dagger_weapon_elden_ring_wiki_guide_200px.png,2.0,"Dagger favored by military physicians in white. The pointed blade is hard and sharp, making critical hits especially potent. Medicine is mercy. and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion",0,"{'Str': 7, 'Dex': 12}",Slash/Pierce,Daggers,No passive effects,Quickstep,3
24,25,Great Knife,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_knife_dagger_weapon_elden_ring_wiki_guide_200px.png,1.5,"Large knife with a broad, curved blade. This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",0,"{'Str': 6, 'Dex': 12}",Slash/Pierce,Daggers,: (38) Hemorrhage,Quickstep,3
25,26,Bloodstained Dagger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodstained_dagger_dagger_weapon_elden_ring_wiki_guide_200px.png,2.0,"Dagger with a bloodstained blade. Afflicts targets with blood loss. As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",0,"{'Str': 9, 'Dex': 12}",Slash/Pierce,Daggers,(38) Hemorrhage,Quickstep,3
26,27,Erdsteel Dagger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/erdsteel_dagger_dagger_weapon_elden_ring_wiki_guide_200px.png,2.0,"An erdsteel dagger with a grass crest engraved upon its blade. Carried by the Erdtree royalty for self-defense in times of peace. Though forged to a high standard, the weapon is difficult to wield. Attack power also scales with faith.",0,"{'Str': 7, 'Dex': 12, 'Fai': 14}",Slash/Pierce,Daggers,No passive effects,Quickstep,3
27,28,Wakizashi,http://eldenring.wiki.fextralife.com/file/Elden-Ring/wakizashi_dagger_weapon_elden_ring_wiki_guide_200px.png,3.0,"Short sword with a tempering pattern on the blade. A weapon unique to warriors of the Land of Reeds. Afflicts targets with blood loss. These swords are considered auxiliary weapons. Yet, one man is known to wield this weapon in his left hand while using a full-sized katana in his right. A demonic swordsman known only as Okina.",0,"{'Str': 9, 'Dex': 13}",Slash/Pierce,Daggers,(38) Hemorrhage,Quickstep,3
28,29,Celebrant's Sickle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/celebrants-sickle_dagger_weapon_elden_ring_wiki_guide_200px.png,1.5,Sickle decorated with flowers and many-coloured fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard.Crafted from human bone. Grants trace amounts of runes on landing attacks.,0,"{'Str': 6, 'Dex': 11}",Slash/Pierce,Daggers,Rune Gain on Hit,Quickstep,3
29,30,Ivory Sickle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ivory_sickle_dagger_weapon_elden_ring_wiki_guide_200px.png,2.0,"Sickle fashioned form ivory. Weapon carried by aged Albunaurics. These weapons are evidence of their dedication to the Haligtree, despite never having entered its presence.",0,"{'Str': 6, 'Dex': 11, 'Int': 13}",Slash/Pierce,Daggers,No passive effects,Quickstep,3
30,31,Crystal Knife,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crystal_knife_dagger_weapon_elden_ring_wiki_guide_200px.png,2.0,"A knife made by sharpening hard crystal.Signature weapon of glintstone miners. Used as a tool to extract glintstone from broken rock, and as such a faint magic enwreathes the blade.",0,"{'Str': 8, 'Dex': 12, 'Int': 9}",Slash/Pierce,Daggers,No passive effects,Quickstep,3
31,32,Scorpion's Stinger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scorpions_stinger_dagger_weapon_elden_ring_wiki_guide_200px.png,2.5,"Dagger fashioned from a great scorpion's tail, glistening with scarlet rot. A ceremonial tool used by heretics, crafted from the relic of a sealed outer god.",0,"{'Str': 6, 'Dex': 12}",Slash/Pierce,Daggers,(50) Scarlet Rot,Repeating Thrust,7
32,33,Cinquedea,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cinquedea_dagger_weapon_elden_ring_wiki_guide_200px.png,3.5,"Short sword given to high ranking clergymen of Farum Azula. Raises potency of bestial incantations. The design celebrates a beast's five fingers, symbolic of the intelligence once granted upon their kind.",0,"{'Str': 10, 'Dex': 10}",Slash/Pierce,Daggers,No passive effects,Quickstep,3
33,34,Glintstone Kris,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_kris_dagger_weapon_elden_ring_wiki_guide_200px.png,1.5,"Ritual blade once presented to Leyndell by the Academy of Raya Lucaria to celebrate their newfound peace. Though the weapon is embedded with precious glintstones and features Erdtree ornamentation, the undulating blade is symbolic of an ancient ritual.",0,"{'Str': 5, 'Dex': 12, 'Int': 16}",Slash/Pierce,Daggers,No passive effects,Glintstone Dart,10 (-4)
34,35,Reduvia,http://eldenring.wiki.fextralife.com/file/Elden-Ring/reduvia_dagger_weapon_elden_ring_wiki_guide_200px.png,2.5,"Jagged dagger with a distinctive curled blade.Carried by the noble servants of the Lord of Blood. This dagger rips the flesh as it enters, inflicting blood loss with sickening efficacy. A proud testament to the success of its vicious design, this weapon is perpetually coated in blood.",0,"{'Str': 5, 'Dex': 13, 'Arc': 13}",Slash/Pierce,Daggers,(50) Hemorrhage,Reduvia Blood Blade,6( - 6)
35,36,Blade of Calling,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blade_of_calling_dagger_weapon_elden_ring_wiki_guide_200px.png,1.5,"Dagger given to one who set out on a journey to fulfill her duty long ago. The power of its former owner, the kindling maiden, is still apparent. The one who walks alongside flame, Shall one day meet the road of Destined Death.",0,"{'Str': 6, 'Dex': 13, 'Fai': 15}",Slash/Pierce,Daggers,No passive effects,Blade of Gold,20
36,37,Black Knife,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black_knife_dagger_weapon_elden_ring_wiki_guide_200px.png,2.0,Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives. A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death.,0,"{'Str': 8, 'Dex': 12, 'Fai': 18}",Slash/Pierce,Daggers,No passive effects,Blade of Death,25
37,38,Main-gauche,http://eldenring.wiki.fextralife.com/file/Elden-Ring/main-gauche_dagger_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,2.5,"Dagger with a large hand guard. Intended to be used in the left hand, thereby complementing a piercing sword or identical blade held in the right to enable a distinctive style of fighting.",1,"{'Str': 7, 'Dex': 15}",Slash/Pierce,Daggers,No passive effects,Parry,0
38,39,Fire Knight's Shortsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_knights_shortsword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,2.0,Shortsword used by the Fire Knights. A slender blade that undulates like fire. Blessed with a flame incantation. Further flame imbuement will amplify the effect and greatly increase the armament's power.,1,"{'Str': 8, 'Dex': 13, 'Fai': 12}",Slash/Pierce,Daggers,No passive effects,Quickstep,3
39,40,Short Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/short_sword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,3.0,"A short straight sword with a short blade. In addition to its reliable standard damage, this weapon also boasts powerful piercing attacks. Lightweight amongst straight swords, this weapon is easy to wield, requiring only humble attributes.",0,"{'Str': 8, 'Dex': 10}",Standard/Pierce,Straight Swords,No passive effects,Kick,0
40,41,Longsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/longsword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"A straight sword with a double-edged blade. In addition to its easily-inflicted standard damage, this well- balanced weapon can also perform powerful piercing attacks.",0,"{'Str': 10, 'Dex': 10}",Standard/Pierce,Straight Swords,No passive effects,Square Off,- (6 8)
41,42,Broadsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/broadsword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,4,"A straight sword with a wide blade, suited to slashing attacks. Horizontal swings boast wide attack range, making it easier to connect with foes.",0,"{'Str': 10, 'Dex': 10}",Standard/Pierce,Straight Swords,No passive effects,Square Off,-(6 8)
42,43,Weathered Straight Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/weathered_straight_sword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,3,"Straight sword with a rather short but wide blade. Simple to wield, it was known as the sword of the people. Though the Erdtree styling is still visible, time has not been kind to this sword, now merely a shadow of its former self.",0,"{'Str': 7, 'Dex': 10}",Standard/Pierce,Straight Swords,No passive effects,Square Off,- ( 6 8)
43,44,Lordsworn's Straight Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lordsworns_straight_sword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"Well-crafted straight sword with an illustrious design, wielded by regulars of a lord's army. Though blackened and damaged by years of use, it appears to have otherwise been kept in a servicable condition, despite the soldiers having long since lost their minds.",0,"{'Str': 10, 'Dex': 10}",Standard/Pierce,Straight Swords,No passive effects,Square Off,- (6 8)
44,45,Noble's Slender Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nobles_slender_sword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"Narrow blade carried by wandering nobles.Made to be easy to wield. Daubed with gold from tip to tail, it should fetch a good sum.",0,{'Str': 8},Standard/Pierce,Straight Swords,No passive effects,Square Off,- (6 8)
45,46,Cane Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cane_sword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,2.5,"Beloved sword of an aged knight whose last quest was long behindhim, repurposed into a walking stick. The tip is rather worn. Though bent of back and without the brawn required even toraise the sword aloft, still he wished to meet his end with weaponin hand.",0,"{'Str': 8, 'Dex': 11}",Standard/Pierce,Straight Swords,No passive effects,Square Off,- ( 6 8)
46,47,Warhawk's Talon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/warhawks_talon_straight_sword_weapon_elden_ring_wiki_guide_200px.png,3,"Talon-swords are affixed to the legs of the Stormveil's warhawks, but this one has been repurposed for human use. The blade is thin and lightweight so as not to obstruct the hawk's mobility.",0,"{'Str': 10, 'Dex': 16}",Standard/Pierce,Straight Swords,No passive effects,Spinning Slash,6 ( - 12)
47,48,Lazuli Glintstone Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lazuli_glintstone_sword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"A sword with a glintstone in its handguards. Wielded by scholars of the Lazuli Conspectus who seek to master Carian sorcery. Deals magic damage. Apparently once used as a staff of sorcery, this sword is made of wood.",0,"{'Str': 8, 'Dex': 9, 'Int': 13}",Standard/Pierce,Straight Swords,No passive effects,Glintstone Pebble,8
48,49,Carian Knight's Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_knights_sword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,4.0,"Straight sword embedded with a blue glintstone. Weapon of knights sworn to Carian royalty. These knights' swords could serve as catalysts, letting them wield sorcerous battle skills. Despite numbering fewer than twenty, this power made them a match for even the champions of gold in battle.",0,"{'Str': 10, 'Dex': 10, 'Int': 18}",Standard/Pierce,Straight Swords,No passive effects,Carian Grandeur,26
49,50,Crystal Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crystal_sword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,4.5,"Sword fashioned from pure crystal; a deed impossible for a human. Enwreathed with powerful magic, its attack scales with intelligence. The inscrutable Crystalians have but one clear purpose; to safeguard their crystals unto the end. One theory posits that they yearn for the return of their creator who will carve for them new brethren.",0,"{'Str': 13, 'Dex': 10, 'Int': 15}",Standard/Pierce,Straight Swords,No passive effects,Spinning Slash,6 ( -12)
50,51,Rotten Crystal Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rotten_crystal_sword_elden_ring_wiki_guide_200px.png,4.5,"Sword fashioned from pure crystal; a deed impossible for a human.It festers with scarlet rot. Enwreathed with powerful magic, its attack scales with intelligence.",0,"{'Str': 13, 'Dex': 10, 'Int': 15}",Pierce,Straight Swords,(50) Scarlet Rot,Spinning Slash,6 (-12)
51,52,Miquellan Knight's Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/miquellan_knights_sword_elden_ring_wiki_guide_200px.png,3.5,"Sword forged by servants of Miquella of the Haligtree, with a design modeled after those carried by Carian knights. Instead of glintstone however, amber from the Haligtree is embedded in the blade. A sumptuous piece, yet it has never been offered to any knight an ill-starred sword with no master. Skill: Sacred Blade",0,"{'Str': 11, 'Dex': 11, 'Fai': 16}",Standard/Pierce,Straight Swords,No passive effects,Sacred Blade,19
52,53,Ornamental Straight Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ornamental_straight_sword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,3.0,"Slender straight sword patterned after an antique ornament.Superior swordsmen prefer to wield one in each hand. After falling from grace, the dregs of the golden lineage sought power and purpose in the past.",0,"{'Str': 10, 'Dex': 14}",Standard/Pierce,Straight Swords,No passive effects,Golden Tempering,24
53,54,Golden Epitaph,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_epitaph_straight_sword_weapon_elden_ring_wiki_guide_200px.png,3.5,"A sword made to commemorate the death of Godwyn the Golden, first of the demigods to die. Infused with the humble prayer of a young boy; ""O brother, lord brother, please die a true death.""",0,"{'Str': 12, 'Dex': 10, 'Fai': 14}",Standard/Pierce,Straight Swords,No passive effects,Last Rites,25
54,55,Sword of St Trina,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sword_of_st_trina_straight_sword_weapon_elden_ring_wiki_guide_200px.png,3,"Silver sword carried by clerics of St. Trina. Inflicts sleep ailment upon foes. St. Trina is an enigmatic figure. Some say she is a comely young girl, others are sure he is a boy. The only certainty is that their appearance was as sudden as their disappearance.",0,"{'Str': 10, 'Dex': 12, 'Int': 14}",Standard/Pierce,Straight Swords,(66) Sleep,Mists of Slumber,20
55,56,Regalia of Eochaid,http://eldenring.wiki.fextralife.com/file/Elden-Ring/regalia_of_eochaid_straight_sword_weapon_elden_ring_wiki_guide_200px.png,5.5,"Treasured sword of Eochaid, a lesser, long-vanished domain. The copper coloration is not to be confused for rust, but is a conduit for its wielder to move it by their will alone. Swords of Eochaid dance through the skies",0,"{'Str': 12, 'Dex': 18, 'Arc': 15}",Standard/Pierce,Straight Swords,No passive effects,Eochaid's Dancing Blade,15
56,57,Coded Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/coded_sword_straight_sword_weapon_elden_ring_wiki_guide_200px.png,2.5,"Hidden sword once granted to the Tarnished of the Roundtable by the Two Fingers. A formless cipher comprises its blade, which deals holy damage no shield can repel. Champions would gather at the Roundtable Hold in days long past, when the Two Fingers were masters of oration, their flesh yet full of vigor.",0,{'Fai': 20},Standard/Pierce,Straight Swords,No passive effects,Unblockable Blade,18
57,58,Sword of Night and Flame,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sword_of_night_and_flame_straight_sword_weapon_elden_ring_wiki_guide_200px.png,4.0,"Storied sword and treasure of Caria Manor.One of the legendary armaments. Astrologers, who preceded the sorcerers, established themselves in mountaintops that nearly touched the sky, and considered the Fire Giants their neighbors.",0,"{'Str': 12, 'Dex': 12, 'Int': 24, 'Fai': 24}",Standard/Pierce,Straight Swords,No passive effects,Night-and-Flame Stance,- (26 32)
58,59,Velvet Sword of St Trina,http://eldenring.wiki.fextralife.com/file/Elden-Ring/velvet_sword_of_st_trina_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,2.5,"Silver sword of St. Trina, now stained the color of velvet. Inflicts eternal sleep. When St. Trina was abandoned, the faint, light-purple mists coalesced into an intoxicating deep-purple cloud.",1,"{'Str': 10, 'Dex': 12, 'Int': 14}",Standard/Pierce,Straight Swords,(42) Sleep,Mists of Eternal Sleep,23
59,60,Stone-Sheathed Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stone-sheathed_sword_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,5.0,"A sword that none can pull from its scabbard of cracked stone. Relic of a lost civilization from a time long past, said to have served a ritual purpose at altars of light and darkness.",1,"{'Str': 16, 'Dex': 8}",Strike,Straight Swords,No passive effects,Square Off,0
60,61,Sword of Light,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sword_of_light_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,4.0,"Sword of light, pulled from its stone scabbard at an altar. From the quick of the root, unswerving rays of light intersect and reflect to give the silver blade form.",1,"{'Str': 14, 'Dex': 11, 'Fai': 24}",Standard/Pierce,Straight Swords,No passive effects,Light,30
